country,gdp_per_capita
South Sudan,1569.89
Sub-Saharan Africa,3807.071044
Small states,22772.98783
São Tomé & Príncipe,3351.436191
Suriname,15114.29604
Slovakia,31616.48013
Slovenia,34868.21428
Sweden,50208.16476
Eswatini,8496.269754
Sint Maarten (Dutch part),66800
Seychelles,28963.91868
Syria,5040
Turks & Caicos Islands,29100
Chad,1941.175568
East Asia & Pacific (IDA & IBRD countries),15062.24171
Europe & Central Asia (IDA & IBRD countries),21247.07003
Taiwan,49827
Togo,1569.727419
Thailand,17870.5181
Tajikistan,3180.389446
Turkmenistan,17992.7666
Latin America & the Caribbean (IDA & IBRD countries),15681.46499
Timor-Leste,7213.017073
Middle East & North Africa (IDA & IBRD countries),13677.21456
Tonga,5956.543211
South Asia (IDA & IBRD),6493.77259
Sub-Saharan Africa (IDA & IBRD countries),3807.071044
Trinidad & Tobago,31577.67299
Tunisia,11910.95234
Turkey,26504.93593
Tuvalu,3924.944604
Tanzania,2945.877987
Uganda,1863.835106
Ukraine,8666.896534
Upper middle income,17774.39517
Uruguay,22562.46183
United States,59531.66196
Uzbekistan,6864.999587
St. Vincent & Grenadines,11776.84795
Venezuela,10778
British Virgin Islands,43366
U.S. Virgin Islands,36350
Vietnam,6775.832191
Vanuatu,3207.831231
World,16940.94764
Samoa,6610.795239
Kosovo,10754.40217
Yemen,1274
South Africa,13497.9878
Zambia,4050.261432
Zimbabwe,2085.676925
Guernsey,55186
Laos,7932
Jersey,60000
Swaziland,9893
St. Barthélemy,33450
Anguilla,12200
Martinique,14400
Cook Islands,12300
Åland Islands,55829
Mayotte,4900
Norfolk Island,17000
St. Martin,19300
St. Pierre & Miquelon,34900
Montserrat,12384
St. Helena,5000
